market_data_id,market_trend,economic_indicator,external_factor,value
2728,Bullish,GDP,Exchange Rates,7629
2729,Bullish,Retail Sales,Consumer Confidence,3825
2730,Sideways,Inflation Rate,Political Stability,1337
2731,Bearish,GDP,Interest Rates,4308
2732,Bullish,Housing Starts,Exchange Rates,9779
2733,Bullish,Consumer Price Index,Stock Market,4962
2734,Bearish,Retail Sales,Oil Prices,7986
2735,Bullish,Housing Starts,Consumer Confidence,3834
2736,Sideways,Inflation Rate,Stock Market,6133
2737,Sideways,Retail Sales,Interest Rates,3822
2738,Bullish,Inflation Rate,Stock Market,6131
2739,Sideways,Retail Sales,Stock Market,6890
2740,Bullish,Trade Balance,Exchange Rates,5736
2741,Bullish,Employment Rate,Exchange Rates,3222
2742,Bullish,Retail Sales,Political Stability,9045
2743,Bearish,Inflation Rate,Political Stability,2779
2744,Bearish,Retail Sales,Political Stability,6125
2745,Sideways,Trade Balance,Consumer Confidence,5253
2746,Bearish,Consumer Price Index,Oil Prices,8024
2747,Bullish,Unemployment Rate,Political Stability,2809
2748,Bearish,Inflation Rate,Consumer Confidence,6065
2749,Bullish,GDP,Stock Market,5875
2750,Bullish,Employment Rate,Stock Market,4192
2751,Bullish,Retail Sales,Stock Market,7940
2752,Bearish,Retail Sales,Interest Rates,8021
2753,Bullish,Unemployment Rate,Stock Market,8886
2754,Bearish,Employment Rate,Political Stability,7095
2755,Bearish,Housing Starts,Stock Market,8813
2756,Bullish,Trade Balance,Consumer Confidence,5584
2757,Bullish,Trade Balance,Political Stability,9516
2758,Sideways,Employment Rate,Exchange Rates,2129
2759,Sideways,Housing Starts,Oil Prices,9308
2760,Sideways,GDP,Consumer Confidence,2238
2761,Bearish,Inflation Rate,Consumer Confidence,7480
2762,Sideways,GDP,Political Stability,4857
2763,Sideways,Consumer Price Index,Consumer Confidence,5676
2764,Bullish,Retail Sales,Exchange Rates,2577
2765,Sideways,Retail Sales,Stock Market,5286
2766,Bullish,Inflation Rate,Oil Prices,6829
2767,Bearish,Industrial Production,Oil Prices,1473
2768,Bearish,Inflation Rate,Exchange Rates,9624
2769,Bullish,Inflation Rate,Oil Prices,3929
2770,Bullish,GDP,Interest Rates,1892
2771,Bearish,Trade Balance,Stock Market,6006
2772,Bearish,Consumer Price Index,Consumer Confidence,8085
2773,Bearish,Consumer Price Index,Interest Rates,4198
2774,Bullish,Employment Rate,Political Stability,9359
2775,Sideways,Housing Starts,Oil Prices,6503
2776,Sideways,Unemployment Rate,Stock Market,6611
2777,Sideways,Employment Rate,Interest Rates,9661
2778,Bullish,Employment Rate,Exchange Rates,8358
2779,Sideways,Unemployment Rate,Oil Prices,9673
2780,Sideways,Employment Rate,Interest Rates,5527
2781,Bearish,Unemployment Rate,Consumer Confidence,1131
2782,Bullish,Consumer Price Index,Oil Prices,2514
2783,Sideways,GDP,Stock Market,2163
2784,Sideways,Consumer Price Index,Stock Market,9336
2785,Sideways,Housing Starts,Exchange Rates,8375
2786,Sideways,GDP,Interest Rates,4619
2787,Bearish,GDP,Stock Market,9106
2788,Sideways,Industrial Production,Oil Prices,8072
2789,Bullish,Trade Balance,Exchange Rates,1654
2790,Bearish,Employment Rate,Oil Prices,9889
2791,Sideways,Unemployment Rate,Political Stability,6822
2792,Bearish,Consumer Price Index,Interest Rates,4574
2793,Sideways,Unemployment Rate,Consumer Confidence,7078
2794,Bullish,Consumer Price Index,Stock Market,6080
2795,Bullish,Industrial Production,Consumer Confidence,1477
2796,Sideways,Inflation Rate,Consumer Confidence,4668
2797,Sideways,Industrial Production,Exchange Rates,8888
2798,Bullish,Trade Balance,Stock Market,1794
2799,Sideways,Employment Rate,Exchange Rates,5255
2800,Sideways,Unemployment Rate,Oil Prices,8422
2801,Bearish,Consumer Price Index,Interest Rates,3375
2802,Bearish,Retail Sales,Stock Market,6468
2803,Bearish,GDP,Exchange Rates,4249
2804,Bearish,GDP,Oil Prices,3713
2805,Sideways,Trade Balance,Exchange Rates,1273
2806,Bearish,Retail Sales,Interest Rates,6553
2807,Bearish,Trade Balance,Stock Market,6721
2808,Sideways,Trade Balance,Exchange Rates,9182
2809,Bullish,Trade Balance,Oil Prices,8283
2810,Bullish,Retail Sales,Consumer Confidence,6975
2811,Bearish,Trade Balance,Consumer Confidence,3194
2812,Bearish,Inflation Rate,Interest Rates,5931
2813,Bullish,Inflation Rate,Oil Prices,3139
2814,Sideways,Retail Sales,Interest Rates,8544
2815,Bearish,Retail Sales,Stock Market,8488
2816,Bearish,Consumer Price Index,Political Stability,5193
2817,Bullish,Trade Balance,Stock Market,4803
2818,Bullish,Industrial Production,Exchange Rates,8999
2819,Bearish,Industrial Production,Political Stability,3055
2820,Bearish,Unemployment Rate,Stock Market,8761
2821,Bearish,Employment Rate,Stock Market,7043
2822,Bearish,Consumer Price Index,Consumer Confidence,7821
2823,Sideways,Retail Sales,Stock Market,2050
2824,Bearish,Retail Sales,Stock Market,2169
2825,Bearish,Housing Starts,Oil Prices,2436
2826,Bearish,Inflation Rate,Consumer Confidence,3949
2827,Bearish,Consumer Price Index,Political Stability,4622
2828,Sideways,GDP,Oil Prices,7861
2829,Sideways,Inflation Rate,Interest Rates,9311
2830,Bearish,Housing Starts,Interest Rates,7283
2831,Bullish,Inflation Rate,Stock Market,9208
2832,Bullish,Trade Balance,Exchange Rates,5407
2833,Bearish,Inflation Rate,Consumer Confidence,9157
2834,Bullish,Employment Rate,Oil Prices,8526
2835,Bullish,Retail Sales,Interest Rates,2356
2836,Bearish,Housing Starts,Stock Market,7032
2837,Bullish,Consumer Price Index,Consumer Confidence,1834
2838,Bearish,Trade Balance,Consumer Confidence,5611
2839,Sideways,Industrial Production,Political Stability,4299
2840,Sideways,Industrial Production,Consumer Confidence,9215
2841,Sideways,Industrial Production,Exchange Rates,6276
2842,Bearish,Unemployment Rate,Stock Market,6158
2843,Bullish,Unemployment Rate,Political Stability,7574
2844,Bullish,Inflation Rate,Consumer Confidence,8823
2845,Bearish,Retail Sales,Stock Market,2764
2846,Sideways,Consumer Price Index,Exchange Rates,7294
2847,Sideways,GDP,Exchange Rates,2665
2848,Bullish,Retail Sales,Consumer Confidence,1750
2849,Sideways,Industrial Production,Consumer Confidence,2300
2850,Bearish,Unemployment Rate,Oil Prices,8041
2851,Bullish,Trade Balance,Political Stability,9741
2852,Sideways,Consumer Price Index,Oil Prices,8718
2853,Sideways,Unemployment Rate,Political Stability,6257
2854,Bearish,Employment Rate,Interest Rates,4242
2855,Bearish,Retail Sales,Oil Prices,7095
2856,Bearish,Employment Rate,Oil Prices,1423
2857,Sideways,GDP,Consumer Confidence,6814
2858,Bearish,GDP,Exchange Rates,9198
2859,Bearish,Trade Balance,Exchange Rates,4581
2860,Bearish,GDP,Oil Prices,1070
2861,Sideways,GDP,Exchange Rates,7900
2862,Sideways,Retail Sales,Exchange Rates,1938
2863,Bearish,Inflation Rate,Oil Prices,5916
2864,Bullish,GDP,Consumer Confidence,4351
2865,Bullish,Retail Sales,Exchange Rates,7969
2866,Sideways,Employment Rate,Stock Market,3026
2867,Bullish,Housing Starts,Stock Market,7298
2868,Bullish,Inflation Rate,Exchange Rates,7843
2869,Sideways,Retail Sales,Exchange Rates,8434
2870,Bullish,Consumer Price Index,Exchange Rates,8933
2871,Bullish,Industrial Production,Exchange Rates,6278
2872,Sideways,Industrial Production,Political Stability,9627
2873,Bullish,Housing Starts,Exchange Rates,4431
2874,Bearish,Inflation Rate,Exchange Rates,9504
2875,Bullish,Employment Rate,Stock Market,5404
2876,Sideways,Retail Sales,Stock Market,1828
2877,Bullish,Trade Balance,Political Stability,6425
2878,Bullish,Consumer Price Index,Political Stability,3089
2879,Bullish,Housing Starts,Consumer Confidence,4907
2880,Bullish,Consumer Price Index,Interest Rates,8103
2881,Bullish,Consumer Price Index,Political Stability,5991
2882,Bearish,Consumer Price Index,Political Stability,9802
2883,Bearish,GDP,Interest Rates,4312
2884,Bearish,Consumer Price Index,Stock Market,4316
2885,Bearish,GDP,Exchange Rates,3500
2886,Sideways,Housing Starts,Political Stability,3153
2887,Bearish,GDP,Stock Market,6113
2888,Sideways,Consumer Price Index,Exchange Rates,2873
2889,Bearish,Employment Rate,Exchange Rates,7571
2890,Bullish,Employment Rate,Interest Rates,5142
2891,Sideways,Trade Balance,Oil Prices,2864
2892,Bearish,Industrial Production,Stock Market,3340
2893,Bullish,Housing Starts,Stock Market,9349
2894,Bullish,Consumer Price Index,Stock Market,5680
2895,Sideways,Housing Starts,Political Stability,2540
2896,Bullish,Consumer Price Index,Oil Prices,4750
2897,Bullish,GDP,Stock Market,5389
2898,Sideways,Employment Rate,Interest Rates,4701
2899,Bearish,Inflation Rate,Consumer Confidence,2234
2900,Sideways,Inflation Rate,Oil Prices,5073
2901,Bearish,GDP,Interest Rates,4299
2902,Bullish,Housing Starts,Consumer Confidence,1758
2903,Bearish,Employment Rate,Oil Prices,4001
2904,Bearish,GDP,Political Stability,1512
2905,Sideways,GDP,Political Stability,9505
2906,Sideways,Inflation Rate,Stock Market,4391
2907,Bullish,Industrial Production,Oil Prices,4120
2908,Bullish,Housing Starts,Political Stability,1627
2909,Bullish,Industrial Production,Exchange Rates,2924
2910,Sideways,Housing Starts,Interest Rates,7003
2911,Bearish,Trade Balance,Consumer Confidence,6610
2912,Sideways,Retail Sales,Oil Prices,4612
2913,Sideways,Inflation Rate,Exchange Rates,4188
2914,Bearish,Trade Balance,Stock Market,2757
2915,Bullish,Inflation Rate,Exchange Rates,5422
2916,Sideways,GDP,Interest Rates,5829
2917,Bullish,Employment Rate,Consumer Confidence,8598
2918,Bullish,Retail Sales,Consumer Confidence,1309
2919,Bearish,Unemployment Rate,Oil Prices,8911
2920,Sideways,Consumer Price Index,Interest Rates,7449
2921,Sideways,Housing Starts,Consumer Confidence,2097
2922,Bullish,Employment Rate,Consumer Confidence,4843
2923,Bullish,Consumer Price Index,Exchange Rates,4353
2924,Sideways,Housing Starts,Consumer Confidence,9649
2925,Bullish,Housing Starts,Interest Rates,6250
2926,Sideways,Trade Balance,Oil Prices,9107
2927,Bearish,Industrial Production,Political Stability,2424
2928,Bearish,Trade Balance,Oil Prices,3190
2929,Bullish,GDP,Exchange Rates,4177
2930,Sideways,Housing Starts,Consumer Confidence,1100
2931,Sideways,Retail Sales,Stock Market,7153
2932,Bullish,Unemployment Rate,Stock Market,2271
2933,Sideways,Trade Balance,Interest Rates,8932
2934,Bearish,Unemployment Rate,Interest Rates,3624
2935,Sideways,Consumer Price Index,Interest Rates,5423
2936,Bullish,Housing Starts,Interest Rates,2297
2937,Bullish,Employment Rate,Oil Prices,6024
2938,Sideways,Employment Rate,Interest Rates,3020
2939,Bullish,Employment Rate,Oil Prices,2623
2940,Bullish,Retail Sales,Interest Rates,4430
2941,Bearish,Industrial Production,Consumer Confidence,9497
2942,Bearish,Inflation Rate,Exchange Rates,6662
2943,Bearish,Industrial Production,Interest Rates,2667
2944,Bullish,Retail Sales,Stock Market,5321
2945,Bullish,Housing Starts,Stock Market,5443
2946,Bearish,Consumer Price Index,Political Stability,9523
2947,Bullish,Industrial Production,Consumer Confidence,6815
2948,Bullish,Industrial Production,Political Stability,1972
2949,Bullish,Industrial Production,Political Stability,5470
2950,Bearish,Housing Starts,Consumer Confidence,8888
2951,Sideways,Retail Sales,Political Stability,5039
2952,Bearish,Unemployment Rate,Stock Market,2634
2953,Bullish,Industrial Production,Stock Market,2260
2954,Bullish,Industrial Production,Interest Rates,4467
2955,Bullish,Inflation Rate,Oil Prices,4744
2956,Bullish,Retail Sales,Oil Prices,9034
2957,Sideways,Consumer Price Index,Political Stability,2717
2958,Sideways,Consumer Price Index,Oil Prices,2603
2959,Sideways,GDP,Interest Rates,6968
2960,Bullish,Retail Sales,Consumer Confidence,1244
2961,Sideways,Industrial Production,Consumer Confidence,1729
2962,Sideways,GDP,Stock Market,4507
2963,Bearish,Inflation Rate,Consumer Confidence,7655
2964,Bullish,Inflation Rate,Political Stability,6902
2965,Sideways,Inflation Rate,Exchange Rates,3636
2966,Bullish,Housing Starts,Consumer Confidence,9918
2967,Bullish,Consumer Price Index,Exchange Rates,9628
2968,Sideways,Retail Sales,Stock Market,2547
2969,Bullish,Inflation Rate,Interest Rates,1630
2970,Bearish,Inflation Rate,Exchange Rates,5394
2971,Bearish,Unemployment Rate,Exchange Rates,5948
2972,Bullish,Retail Sales,Political Stability,1363
2973,Bullish,Retail Sales,Interest Rates,7713
2974,Sideways,Unemployment Rate,Stock Market,6894
2975,Bearish,Employment Rate,Political Stability,1511
2976,Sideways,Trade Balance,Consumer Confidence,4282
2977,Sideways,GDP,Consumer Confidence,4892
2978,Bearish,Inflation Rate,Stock Market,5681
2979,Bearish,Industrial Production,Political Stability,7664
2980,Sideways,Unemployment Rate,Consumer Confidence,4321
2981,Sideways,Unemployment Rate,Interest Rates,9274
2982,Sideways,Unemployment Rate,Interest Rates,1319
2983,Sideways,Inflation Rate,Exchange Rates,2039
2984,Sideways,Employment Rate,Interest Rates,9965
2985,Bearish,Unemployment Rate,Interest Rates,1130
2986,Bullish,GDP,Political Stability,2212
2987,Bearish,Employment Rate,Oil Prices,6544
2988,Bullish,Retail Sales,Stock Market,8629
2989,Bearish,Trade Balance,Consumer Confidence,8235
2990,Sideways,Consumer Price Index,Stock Market,9552
2991,Sideways,Housing Starts,Consumer Confidence,1229
2992,Sideways,Consumer Price Index,Oil Prices,8786
2993,Bearish,Retail Sales,Oil Prices,8650
2994,Bearish,Inflation Rate,Consumer Confidence,6867
2995,Sideways,GDP,Interest Rates,7393
2996,Sideways,Housing Starts,Exchange Rates,6802
2997,Bearish,Trade Balance,Consumer Confidence,7755
2998,Bullish,Inflation Rate,Oil Prices,3514
2999,Sideways,Industrial Production,Political Stability,3410
3000,Bullish,GDP,Interest Rates,8489
3001,Bullish,Industrial Production,Consumer Confidence,1996
3002,Bearish,Inflation Rate,Consumer Confidence,6906
3003,Bullish,Retail Sales,Oil Prices,1865
3004,Bearish,Retail Sales,Political Stability,1873
3005,Bullish,GDP,Political Stability,5747
3006,Bullish,Employment Rate,Interest Rates,5790
3007,Bearish,Housing Starts,Stock Market,8589
3008,Bearish,Employment Rate,Exchange Rates,4138
3009,Sideways,Inflation Rate,Stock Market,7084
3010,Sideways,Retail Sales,Stock Market,6417
3011,Bullish,GDP,Stock Market,4592
3012,Bullish,Trade Balance,Stock Market,3932
3013,Sideways,GDP,Exchange Rates,1432
3014,Bearish,Consumer Price Index,Oil Prices,4329
3015,Bullish,GDP,Stock Market,6673
3016,Bullish,Industrial Production,Political Stability,4589
3017,Bearish,Consumer Price Index,Oil Prices,2709
3018,Bullish,Inflation Rate,Exchange Rates,1278
3019,Bearish,Trade Balance,Interest Rates,8308
3020,Bullish,Housing Starts,Consumer Confidence,6374
3021,Bullish,Employment Rate,Oil Prices,5285
3022,Bearish,Industrial Production,Interest Rates,2756
3023,Sideways,Consumer Price Index,Stock Market,1642
3024,Bearish,GDP,Oil Prices,6854
3025,Bearish,Retail Sales,Consumer Confidence,9482
3026,Sideways,Housing Starts,Oil Prices,7272
3027,Bearish,Unemployment Rate,Exchange Rates,2499
3028,Sideways,Housing Starts,Interest Rates,2959
3029,Bearish,Trade Balance,Interest Rates,9439
3030,Bullish,Inflation Rate,Political Stability,2004
3031,Bearish,Industrial Production,Stock Market,5088
3032,Sideways,GDP,Stock Market,9647
3033,Sideways,Housing Starts,Exchange Rates,5445
3034,Bullish,Housing Starts,Oil Prices,5979
3035,Bullish,Consumer Price Index,Exchange Rates,3552
3036,Sideways,Housing Starts,Oil Prices,3607
3037,Bullish,Housing Starts,Stock Market,9929
3038,Bullish,Inflation Rate,Interest Rates,2481
3039,Bearish,Unemployment Rate,Consumer Confidence,9926
3040,Bearish,Unemployment Rate,Consumer Confidence,5878
3041,Bearish,Consumer Price Index,Consumer Confidence,7198
3042,Bullish,Trade Balance,Oil Prices,1602
3043,Bearish,Unemployment Rate,Consumer Confidence,6207
3044,Bullish,Industrial Production,Consumer Confidence,3202
3045,Bearish,Employment Rate,Consumer Confidence,4334
3046,Sideways,Unemployment Rate,Oil Prices,6516
3047,Bearish,Retail Sales,Exchange Rates,9252
3048,Bullish,Trade Balance,Interest Rates,8106
3049,Bearish,Inflation Rate,Consumer Confidence,5766
3050,Sideways,Unemployment Rate,Oil Prices,4808
3051,Sideways,Trade Balance,Consumer Confidence,7392
3052,Bearish,Retail Sales,Interest Rates,4972
3053,Sideways,Housing Starts,Consumer Confidence,4325
3054,Bullish,Trade Balance,Consumer Confidence,5950
3055,Bullish,Industrial Production,Interest Rates,9187
3056,Bullish,Unemployment Rate,Oil Prices,8706
3057,Bullish,Housing Starts,Oil Prices,1606
3058,Sideways,Retail Sales,Consumer Confidence,3337
3059,Bullish,Inflation Rate,Interest Rates,9448
3060,Bullish,GDP,Oil Prices,5263
3061,Sideways,Inflation Rate,Stock Market,3664
3062,Sideways,GDP,Stock Market,4630
3063,Bearish,Unemployment Rate,Stock Market,9441
3064,Bullish,Housing Starts,Consumer Confidence,8738
3065,Bearish,Inflation Rate,Political Stability,4446
3066,Sideways,Housing Starts,Consumer Confidence,8819
3067,Bullish,Industrial Production,Interest Rates,6216
3068,Sideways,Unemployment Rate,Exchange Rates,1343
3069,Sideways,Consumer Price Index,Interest Rates,3041
3070,Sideways,Industrial Production,Consumer Confidence,3245
3071,Sideways,Trade Balance,Exchange Rates,6920
3072,Bullish,Unemployment Rate,Political Stability,7000
3073,Sideways,Retail Sales,Consumer Confidence,1518
3074,Bearish,Unemployment Rate,Political Stability,3114
3075,Sideways,Employment Rate,Consumer Confidence,8873
3076,Bullish,Housing Starts,Consumer Confidence,3400
3077,Sideways,Employment Rate,Consumer Confidence,9907
3078,Sideways,Retail Sales,Consumer Confidence,9208
3079,Sideways,Housing Starts,Consumer Confidence,9962
3080,Sideways,Industrial Production,Exchange Rates,7832
3081,Bearish,Retail Sales,Oil Prices,9109
3082,Sideways,Trade Balance,Exchange Rates,5579
3083,Bearish,Industrial Production,Interest Rates,6741
3084,Sideways,Industrial Production,Interest Rates,6547
3085,Bullish,Employment Rate,Stock Market,4529
3086,Sideways,Employment Rate,Interest Rates,2199
3087,Bullish,Retail Sales,Interest Rates,2675
3088,Sideways,GDP,Interest Rates,8434
3089,Bearish,GDP,Interest Rates,7312
3090,Sideways,GDP,Exchange Rates,3729
3091,Bullish,Trade Balance,Interest Rates,6285
3092,Sideways,Industrial Production,Oil Prices,4288
3093,Sideways,Inflation Rate,Stock Market,3278
3094,Bearish,Inflation Rate,Stock Market,3201
3095,Bearish,GDP,Interest Rates,3547
3096,Sideways,Trade Balance,Exchange Rates,8424
3097,Sideways,Housing Starts,Consumer Confidence,1938
3098,Sideways,Unemployment Rate,Consumer Confidence,3201
3099,Bearish,Retail Sales,Consumer Confidence,1667
3100,Bearish,Housing Starts,Exchange Rates,5208
3101,Bearish,Inflation Rate,Exchange Rates,1291
3102,Sideways,Housing Starts,Interest Rates,1027
3103,Bullish,Industrial Production,Consumer Confidence,2031
3104,Bullish,Unemployment Rate,Stock Market,9242
3105,Bearish,Consumer Price Index,Consumer Confidence,8098
3106,Sideways,Employment Rate,Political Stability,9532
3107,Bullish,Trade Balance,Interest Rates,4873
3108,Sideways,Consumer Price Index,Consumer Confidence,7764
3109,Bullish,Consumer Price Index,Interest Rates,2929
3110,Sideways,Trade Balance,Interest Rates,3688
3111,Sideways,Industrial Production,Exchange Rates,1029
3112,Bullish,Unemployment Rate,Political Stability,1614
3113,Sideways,Employment Rate,Stock Market,6145
3114,Bearish,Unemployment Rate,Consumer Confidence,2591
3115,Sideways,Trade Balance,Oil Prices,2051
3116,Bullish,Unemployment Rate,Stock Market,6259
3117,Bullish,Housing Starts,Political Stability,5282
3118,Bullish,Housing Starts,Stock Market,7494
3119,Sideways,Unemployment Rate,Oil Prices,9608
3120,Bullish,Employment Rate,Interest Rates,6533
3121,Bearish,Consumer Price Index,Exchange Rates,8797
3122,Sideways,GDP,Exchange Rates,9863
3123,Sideways,Inflation Rate,Exchange Rates,7393
3124,Bearish,Inflation Rate,Consumer Confidence,3554
3125,Sideways,Employment Rate,Oil Prices,3885
3126,Sideways,Consumer Price Index,Political Stability,4945
3127,Bullish,Trade Balance,Interest Rates,3050
3128,Bearish,Housing Starts,Interest Rates,1627
3129,Sideways,Retail Sales,Stock Market,1219
3130,Bearish,Employment Rate,Consumer Confidence,4684
3131,Bullish,Employment Rate,Consumer Confidence,5398
3132,Sideways,Industrial Production,Oil Prices,3983
3133,Bearish,Unemployment Rate,Oil Prices,3678
3134,Bearish,Housing Starts,Stock Market,5443
3135,Bullish,Consumer Price Index,Exchange Rates,7846
3136,Bullish,Trade Balance,Stock Market,6277
3137,Sideways,Trade Balance,Interest Rates,3617
3138,Sideways,Consumer Price Index,Oil Prices,7228
3139,Bearish,Housing Starts,Consumer Confidence,2354
3140,Sideways,Employment Rate,Interest Rates,7918
3141,Bullish,Industrial Production,Exchange Rates,9622
3142,Sideways,Employment Rate,Political Stability,9769
3143,Bearish,Retail Sales,Oil Prices,2619
3144,Bullish,Unemployment Rate,Stock Market,6906
3145,Bullish,Retail Sales,Oil Prices,5150
3146,Bearish,Employment Rate,Exchange Rates,8485
3147,Sideways,Industrial Production,Consumer Confidence,1639
3148,Bearish,Unemployment Rate,Stock Market,4983
3149,Bearish,Unemployment Rate,Exchange Rates,8268
3150,Bullish,Housing Starts,Exchange Rates,3075
3151,Sideways,Consumer Price Index,Interest Rates,9265
3152,Bearish,Unemployment Rate,Political Stability,4410
3153,Sideways,Employment Rate,Exchange Rates,5552
3154,Sideways,Trade Balance,Oil Prices,2086
3155,Bullish,Employment Rate,Interest Rates,7181
3156,Bearish,Unemployment Rate,Political Stability,7024
3157,Bullish,Employment Rate,Political Stability,7977
3158,Sideways,Inflation Rate,Oil Prices,9819
3159,Bearish,Retail Sales,Political Stability,1225
3160,Sideways,Trade Balance,Political Stability,4846
3161,Sideways,Retail Sales,Political Stability,4818
3162,Bullish,Trade Balance,Exchange Rates,7656
3163,Sideways,Consumer Price Index,Exchange Rates,3457
3164,Sideways,Unemployment Rate,Consumer Confidence,3604
3165,Sideways,Inflation Rate,Stock Market,3764
3166,Bullish,Employment Rate,Stock Market,4912
3167,Sideways,Consumer Price Index,Stock Market,3806
3168,Sideways,Housing Starts,Stock Market,4812
3169,Sideways,Retail Sales,Exchange Rates,1317
3170,Sideways,Consumer Price Index,Consumer Confidence,2228
3171,Sideways,Industrial Production,Consumer Confidence,3271
3172,Sideways,Consumer Price Index,Consumer Confidence,9967
3173,Sideways,Consumer Price Index,Consumer Confidence,2067
3174,Bullish,Housing Starts,Consumer Confidence,1942
3175,Bearish,Inflation Rate,Stock Market,3529
3176,Bearish,Retail Sales,Oil Prices,2333
3177,Bullish,Unemployment Rate,Stock Market,8760
3178,Sideways,Inflation Rate,Stock Market,4550
3179,Bullish,GDP,Political Stability,4697
3180,Sideways,GDP,Consumer Confidence,5433
3181,Bearish,Consumer Price Index,Interest Rates,6218
3182,Bearish,Trade Balance,Exchange Rates,7236
3183,Bearish,Retail Sales,Stock Market,2507
3184,Bullish,Housing Starts,Interest Rates,6333
3185,Bearish,Employment Rate,Consumer Confidence,2444
3186,Bullish,Retail Sales,Interest Rates,6397
3187,Bearish,Inflation Rate,Interest Rates,1054
3188,Bearish,Consumer Price Index,Consumer Confidence,5242
3189,Bullish,Housing Starts,Political Stability,9414
3190,Bullish,Unemployment Rate,Exchange Rates,7149
3191,Bearish,Trade Balance,Stock Market,5748
3192,Sideways,Consumer Price Index,Exchange Rates,8273
3193,Bearish,GDP,Political Stability,4932
3194,Bullish,GDP,Stock Market,8876
3195,Bearish,Unemployment Rate,Oil Prices,1438
3196,Sideways,Employment Rate,Stock Market,6786
3197,Bullish,Industrial Production,Oil Prices,1915
3198,Bullish,Housing Starts,Stock Market,1738
3199,Bullish,Inflation Rate,Consumer Confidence,7833
3200,Sideways,Inflation Rate,Political Stability,9359
3201,Bearish,Industrial Production,Oil Prices,1862
3202,Bearish,Retail Sales,Stock Market,8435
3203,Bearish,GDP,Oil Prices,3354
3204,Bullish,Inflation Rate,Consumer Confidence,9498
3205,Bullish,Housing Starts,Political Stability,9514
3206,Bullish,Inflation Rate,Stock Market,1202
3207,Bearish,GDP,Political Stability,1090
3208,Sideways,Inflation Rate,Political Stability,5196
3209,Sideways,Consumer Price Index,Exchange Rates,7372
3210,Bearish,Housing Starts,Exchange Rates,5047
3211,Bearish,Employment Rate,Exchange Rates,9710
3212,Bearish,Inflation Rate,Interest Rates,5293
3213,Sideways,Industrial Production,Consumer Confidence,4147
3214,Bearish,Housing Starts,Exchange Rates,4288
3215,Sideways,Consumer Price Index,Consumer Confidence,6265
3216,Sideways,Employment Rate,Political Stability,8818
3217,Sideways,Industrial Production,Stock Market,9811
3218,Bearish,Industrial Production,Exchange Rates,6764
3219,Bearish,Inflation Rate,Political Stability,2763
3220,Bullish,Retail Sales,Stock Market,4297
3221,Bearish,Housing Starts,Stock Market,8329
3222,Sideways,Retail Sales,Stock Market,4077
3223,Bearish,Trade Balance,Stock Market,3497
3224,Sideways,Inflation Rate,Consumer Confidence,2667
3225,Sideways,Unemployment Rate,Consumer Confidence,6080
3226,Bullish,Retail Sales,Consumer Confidence,2582
3227,Bearish,Housing Starts,Exchange Rates,1419
3228,Bullish,Inflation Rate,Interest Rates,7630
3229,Bearish,Inflation Rate,Consumer Confidence,4779
3230,Bullish,GDP,Political Stability,8645
3231,Sideways,Industrial Production,Consumer Confidence,6440
3232,Bearish,Housing Starts,Oil Prices,8462
3233,Bullish,Housing Starts,Political Stability,4993
3234,Sideways,Consumer Price Index,Oil Prices,8622
3235,Bearish,Housing Starts,Consumer Confidence,5580
3236,Bearish,Employment Rate,Stock Market,1436
3237,Sideways,Retail Sales,Oil Prices,8499
3238,Sideways,Inflation Rate,Oil Prices,5394
3239,Sideways,Inflation Rate,Oil Prices,9824
3240,Sideways,Housing Starts,Political Stability,6990
3241,Bullish,Consumer Price Index,Exchange Rates,3737
3242,Bearish,Unemployment Rate,Consumer Confidence,8562
3243,Sideways,Trade Balance,Interest Rates,1560
3244,Bearish,Trade Balance,Exchange Rates,6218
3245,Sideways,Employment Rate,Exchange Rates,8968
3246,Sideways,Unemployment Rate,Exchange Rates,5548
3247,Bearish,Trade Balance,Political Stability,2698
3248,Bearish,Consumer Price Index,Interest Rates,5979
3249,Bearish,Consumer Price Index,Consumer Confidence,9299
3250,Bearish,Consumer Price Index,Interest Rates,6724
3251,Bearish,Consumer Price Index,Oil Prices,8880
3252,Sideways,Trade Balance,Stock Market,5338
3253,Bullish,Inflation Rate,Interest Rates,1404
3254,Sideways,Housing Starts,Exchange Rates,4439
3255,Bearish,Housing Starts,Stock Market,5216
3256,Sideways,Unemployment Rate,Oil Prices,1485
3257,Sideways,GDP,Exchange Rates,8031
3258,Bullish,Employment Rate,Consumer Confidence,6421
3259,Bearish,Inflation Rate,Political Stability,2575
3260,Bullish,Trade Balance,Interest Rates,4746
3261,Sideways,Industrial Production,Interest Rates,7309
3262,Bullish,Unemployment Rate,Oil Prices,3613
3263,Bullish,Industrial Production,Oil Prices,3304
3264,Bearish,Housing Starts,Political Stability,1883
3265,Sideways,Housing Starts,Political Stability,6461
3266,Bearish,Inflation Rate,Interest Rates,9144
3267,Bullish,GDP,Oil Prices,2946
3268,Bearish,Retail Sales,Stock Market,2703
3269,Bullish,Unemployment Rate,Exchange Rates,4234
3270,Bearish,Retail Sales,Exchange Rates,5410
3271,Bearish,GDP,Interest Rates,9425
3272,Sideways,Inflation Rate,Consumer Confidence,1787
3273,Bullish,Industrial Production,Oil Prices,7450
3274,Sideways,Industrial Production,Consumer Confidence,4606
